Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/08/2017;LTN;Venda;2.к volta;04/09/2017;01/07/2021;600.000;9,4415;9,4415;15.000;10.648.607,25;0;0
31/08/2017;LTN;Venda;1.к volta;01/09/2017;01/10/2018;1.000.000;7,6147;7,6188;1.000.000;924.651.797,85;0;0
31/08/2017;LTN;Venda;2.к volta;04/09/2017;01/10/2018;200.000;7,6147;7,6147;0;0;0;0
31/08/2017;LTN;Venda;1.к volta;01/09/2017;01/10/2019;1.500.000;8,4034;8,4125;1.500.000;1.269.931.160,35;0;0
31/08/2017;LTN;Venda;2.к volta;04/09/2017;01/10/2019;300.000;8,4034;8,4034;0;0;0;0
31/08/2017;NTN-F;Venda;1.к volta;01/09/2017;01/01/2023;750.000;9,5781;9,5889;750.000;776.308.788,70;0;0
31/08/2017;NTN-F;Venda;2.к volta;04/09/2017;01/01/2023;150.000;9,5781;9,5781;7.500;7.765.935,23;0;0
31/08/2017;NTN-F;Venda;1.к volta;01/09/2017;01/01/2027;500.000;9,9581;9,9719;500.000;510.722.812,94;0;0
31/08/2017;NTN-F;Venda;2.к volta;04/09/2017;01/01/2027;100.000;9,9581;9,9581;18.600;19.006.080,49;0;0
31/08/2006;LTN;Venda;1.к volta;01/09/2006;01/01/2009;1.000.000;14,2602;14,2649;1.000.000;733.838.308,19;0;0
31/08/2006;LTN;Venda;2.к volta;01/09/2006;01/01/2009;150.000;14,2602;14,2602;31.000;22.748.987,54;0;0
31/08/2006;LTN;Venda;1.к volta;01/09/2006;01/04/2008;3.000.000;14,133;14,1499;2.800.000;2.279.562.836,50;2.500.000;2.035.323.960,00
31/08/2006;LTN;Venda;1.к volta;01/09/2006;01/07/2007;1.000.000;14,0082;14,0199;1.000.000;898.841.331,73;1.500.000;1.348.261.996,50
31/08/2006;LTN;Venda;2.к volta;01/09/2006;01/07/2007;150.000;14,0082;14,0082;10.694;9.612.209,20;0;0
31/08/2006;NTN-F;Venda;1.к volta;01/09/2006;01/01/2012;500.000;14,5426;14,5799;500.000;430.819.539,65;0;0
31/08/2006;NTN-F;Venda;2.к volta;01/09/2006;01/01/2012;75.000;14,5426;0;0;0;0;0
31/08/2006;NTN-F;Venda;1.к volta;01/09/2006;01/01/2014;300.000;14,5814;14,6999;300.000;247.497.101,22;0;0
